Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Description,Environment,Watchers,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Custom field (Development),Custom field (Issue color),Custom field (Rank),Sprint,Custom field (Start date),Custom field (Story point estimate),Custom field (Team),Custom field (Vulnerability),Parent,Parent key,Parent summary,Status Category,Status Category Changed
Write FR for frontend,SCRUM-27,10048,Subtask,To Do,SCRUM,CTS v1.0 - SCRUM,software,Maria Mashura,712020:908fe8f9-ee75-4548-a54d-e70f424735f9,Your first project,Medium,,Maria Mashura,712020:908fe8f9-ee75-4548-a54d-e70f424735f9,Maria Mashura,712020:908fe8f9-ee75-4548-a54d-e70f424735f9,Maria Mashura,712020:908fe8f9-ee75-4548-a54d-e70f424735f9,05/Dec/25 4:20 PM,05/Dec/25 4:20 PM,,,,0,,,Maria Mashura,712020:908fe8f9-ee75-4548-a54d-e70f424735f9,,,,,,,,,{},,0|i0005r:,CTS v 1.0,,,,,10006,SCRUM-6,Define functional requirements,To Do,05/Dec/25 4:20 PM
Write FR for API,SCRUM-26,10046,Subtask,To Do,SCRUM,CTS v1.0 - SCRUM,software,Maria Mashura,712020:908fe8f9-ee75-4548-a54d-e70f424735f9,Your first project,Medium,,Maria Mashura,712020:908fe8f9-ee75-4548-a54d-e70f424735f9,Maria Mashura,712020:908fe8f9-ee75-4548-a54d-e70f424735f9,Maria Mashura,712020:908fe8f9-ee75-4548-a54d-e70f424735f9,05/Dec/25 4:20 PM,05/Dec/25 4:20 PM,,,,0,,,Maria Mashura,712020:908fe8f9-ee75-4548-a54d-e70f424735f9,,,,,,,,,{},,0|i0005j:,CTS v 1.0,,,,,10006,SCRUM-6,Define functional requirements,To Do,05/Dec/25 4:20 PM
Write FR for database,SCRUM-25,10044,Subtask,To Do,SCRUM,CTS v1.0 - SCRUM,software,Maria Mashura,712020:908fe8f9-ee75-4548-a54d-e70f424735f9,Your first project,Medium,,Maria Mashura,712020:908fe8f9-ee75-4548-a54d-e70f424735f9,Maria Mashura,712020:908fe8f9-ee75-4548-a54d-e70f424735f9,Maria Mashura,712020:908fe8f9-ee75-4548-a54d-e70f424735f9,05/Dec/25 4:19 PM,05/Dec/25 4:20 PM,,,,0,,,Maria Mashura,712020:908fe8f9-ee75-4548-a54d-e70f424735f9,,,,,,,,,{},,0|i0005b:,CTS v 1.0,,,,,10006,SCRUM-6,Define functional requirements,To Do,05/Dec/25 4:19 PM
Write FR for data collection,SCRUM-24,10042,Subtask,To Do,SCRUM,CTS v1.0 - SCRUM,software,Maria Mashura,712020:908fe8f9-ee75-4548-a54d-e70f424735f9,Your first project,Medium,,Maria Mashura,712020:908fe8f9-ee75-4548-a54d-e70f424735f9,Maria Mashura,712020:908fe8f9-ee75-4548-a54d-e70f424735f9,Maria Mashura,712020:908fe8f9-ee75-4548-a54d-e70f424735f9,05/Dec/25 4:19 PM,05/Dec/25 4:20 PM,,,,0,,,Maria Mashura,712020:908fe8f9-ee75-4548-a54d-e70f424735f9,,,,,,,,,{},,0|i00053:,CTS v 1.0,,,,,10006,SCRUM-6,Define functional requirements,To Do,05/Dec/25 4:19 PM
Add error responses,SCRUM-23,10040,Subtask,To Do,SCRUM,CTS v1.0 - SCRUM,software,Maria Mashura,712020:908fe8f9-ee75-4548-a54d-e70f424735f9,Your first project,Medium,,Maria Mashura,712020:908fe8f9-ee75-4548-a54d-e70f424735f9,Maria Mashura,712020:908fe8f9-ee75-4548-a54d-e70f424735f9,Maria Mashura,712020:908fe8f9-ee75-4548-a54d-e70f424735f9,05/Dec/25 4:16 PM,05/Dec/25 4:36 PM,,,,0,,,Maria Mashura,712020:908fe8f9-ee75-4548-a54d-e70f424735f9,,,,,,,,,{},,0|i0004v:,CTS v 1.0,,,,,10024,SCRUM-15,Develop API endpoints,To Do,05/Dec/25 4:16 PM
Create /rates/{bank} endpoint,SCRUM-21,10036,Subtask,To Do,SCRUM,CTS v1.0 - SCRUM,software,Maria Mashura,712020:908fe8f9-ee75-4548-a54d-e70f424735f9,Your first project,Medium,,Maria Mashura,712020:908fe8f9-ee75-4548-a54d-e70f424735f9,Maria Mashura,712020:908fe8f9-ee75-4548-a54d-e70f424735f9,Maria Mashura,712020:908fe8f9-ee75-4548-a54d-e70f424735f9,05/Dec/25 4:15 PM,05/Dec/25 4:36 PM,,,,0,,,Maria Mashura,712020:908fe8f9-ee75-4548-a54d-e70f424735f9,,,,,,,,,{},,0|i0004f:,CTS v 1.0,,,,,10024,SCRUM-15,Develop API endpoints,To Do,05/Dec/25 4:15 PM
Create /rates/latest endpoint,SCRUM-20,10034,Subtask,To Do,SCRUM,CTS v1.0 - SCRUM,software,Maria Mashura,712020:908fe8f9-ee75-4548-a54d-e70f424735f9,Your first project,Medium,,Maria Mashura,712020:908fe8f9-ee75-4548-a54d-e70f424735f9,Maria Mashura,712020:908fe8f9-ee75-4548-a54d-e70f424735f9,Maria Mashura,712020:908fe8f9-ee75-4548-a54d-e70f424735f9,05/Dec/25 4:15 PM,05/Dec/25 4:36 PM,,,,0,,,Maria Mashura,712020:908fe8f9-ee75-4548-a54d-e70f424735f9,,,,,,,,,{},,0|i00047:,CTS v 1.0,,,,,10024,SCRUM-15,Develop API endpoints,To Do,05/Dec/25 4:15 PM
Documentation and release,SCRUM-19,10032,Story,To Do,SCRUM,CTS v1.0 - SCRUM,software,Maria Mashura,712020:908fe8f9-ee75-4548-a54d-e70f424735f9,Your first project,Medium,,Maria Mashura,712020:908fe8f9-ee75-4548-a54d-e70f424735f9,Maria Mashura,712020:908fe8f9-ee75-4548-a54d-e70f424735f9,Maria Mashura,712020:908fe8f9-ee75-4548-a54d-e70f424735f9,05/Dec/25 3:57 PM,05/Dec/25 4:47 PM,05/Dec/25 4:42 PM,,,0,"Prepare README, diagrams, installation guide, and final release notes.",,,,,,,,,,,,{},,0|i0003z:,CTS v 1.0,05/Dec/25 12:00 AM,3.0,,,10004,SCRUM-5,Currency Tracking Service,To Do,05/Dec/25 3:57 PM
Testing,SCRUM-18,10030,Story,To Do,SCRUM,CTS v1.0 - SCRUM,software,Maria Mashura,712020:908fe8f9-ee75-4548-a54d-e70f424735f9,Your first project,Medium,,Maria Mashura,712020:908fe8f9-ee75-4548-a54d-e70f424735f9,Maria Mashura,712020:908fe8f9-ee75-4548-a54d-e70f424735f9,Maria Mashura,712020:908fe8f9-ee75-4548-a54d-e70f424735f9,05/Dec/25 3:56 PM,05/Dec/25 4:47 PM,05/Dec/25 4:41 PM,,,0,"Create test cases and test backend, frontend, and parsing logic.",,,,,,,,,,,,{},,0|i0003r:,CTS v 1.0,05/Dec/25 12:00 AM,5.0,,,10004,SCRUM-5,Currency Tracking Service,To Do,05/Dec/25 3:56 PM
Implement error handling,SCRUM-17,10028,Story,To Do,SCRUM,CTS v1.0 - SCRUM,software,Maria Mashura,712020:908fe8f9-ee75-4548-a54d-e70f424735f9,Your first project,Medium,,Maria Mashura,712020:908fe8f9-ee75-4548-a54d-e70f424735f9,Maria Mashura,712020:908fe8f9-ee75-4548-a54d-e70f424735f9,Maria Mashura,712020:908fe8f9-ee75-4548-a54d-e70f424735f9,05/Dec/25 3:56 PM,05/Dec/25 4:47 PM,05/Dec/25 4:39 PM,,,0,"Log errors, handle missing data, API downtime, and unexpected responses.",,,,,,,,,,,,{},,0|i0003j:,CTS v 1.0,05/Dec/25 12:00 AM,3.0,,,10004,SCRUM-5,Currency Tracking Service,To Do,05/Dec/25 3:56 PM
Develop frontend UI,SCRUM-16,10026,Story,To Do,SCRUM,CTS v1.0 - SCRUM,software,Maria Mashura,712020:908fe8f9-ee75-4548-a54d-e70f424735f9,Your first project,High,,Maria Mashura,712020:908fe8f9-ee75-4548-a54d-e70f424735f9,Maria Mashura,712020:908fe8f9-ee75-4548-a54d-e70f424735f9,Maria Mashura,712020:908fe8f9-ee75-4548-a54d-e70f424735f9,05/Dec/25 3:56 PM,05/Dec/25 4:47 PM,05/Dec/25 4:37 PM,,,0,"Create a modern one-page interface with a currency rates table using HTML, JS, Tailwind.",,,,,,,,,,,,{},,0|i0003b:,CTS v 1.0,05/Dec/25 12:00 AM,8.0,,,10004,SCRUM-5,Currency Tracking Service,To Do,05/Dec/25 3:56 PM
Develop API endpoints,SCRUM-15,10024,Story,To Do,SCRUM,CTS v1.0 - SCRUM,software,Maria Mashura,712020:908fe8f9-ee75-4548-a54d-e70f424735f9,Your first project,High,,Maria Mashura,712020:908fe8f9-ee75-4548-a54d-e70f424735f9,Maria Mashura,712020:908fe8f9-ee75-4548-a54d-e70f424735f9,Maria Mashura,712020:908fe8f9-ee75-4548-a54d-e70f424735f9,05/Dec/25 3:55 PM,05/Dec/25 4:47 PM,05/Dec/25 4:37 PM,,,0,Create FastAPI endpoints: /rates/latest and /rates/{bank}.,,,,,,,,,,,,{},,0|i00033:,CTS v 1.0,05/Dec/25 12:00 AM,5.0,,,10004,SCRUM-5,Currency Tracking Service,To Do,05/Dec/25 3:55 PM
Implement scheduler,SCRUM-14,10022,Story,To Do,SCRUM,CTS v1.0 - SCRUM,software,Maria Mashura,712020:908fe8f9-ee75-4548-a54d-e70f424735f9,Your first project,Medium,,,,Maria Mashura,712020:908fe8f9-ee75-4548-a54d-e70f424735f9,Maria Mashura,712020:908fe8f9-ee75-4548-a54d-e70f424735f9,05/Dec/25 3:55 PM,05/Dec/25 4:47 PM,05/Dec/25 4:52 PM,,,0,Set up APScheduler to collect data once per day automatically.,,,,,,,,,,,,{},,0|i0000z:,CTS v 1.0,05/Dec/25 12:00 AM,3.0,,,10004,SCRUM-5,Currency Tracking Service,To Do,05/Dec/25 3:55 PM
Implement Raiffeisen Bank data collector,SCRUM-13,10020,Story,To Do,SCRUM,CTS v1.0 - SCRUM,software,Maria Mashura,712020:908fe8f9-ee75-4548-a54d-e70f424735f9,Your first project,Low,,Maria Mashura,712020:908fe8f9-ee75-4548-a54d-e70f424735f9,Maria Mashura,712020:908fe8f9-ee75-4548-a54d-e70f424735f9,Maria Mashura,712020:908fe8f9-ee75-4548-a54d-e70f424735f9,05/Dec/25 3:55 PM,05/Dec/25 4:47 PM,05/Dec/25 4:32 PM,,,0,Develop parser for Raiffeisen currency rates and integrate into data pipeline.,,,,,,,,,,,,{},,0|i0002n:,CTS v 1.0,05/Dec/25 12:00 AM,5.0,,,10004,SCRUM-5,Currency Tracking Service,To Do,05/Dec/25 3:55 PM
Implement UkrSibbank data collector,SCRUM-12,10018,Story,To Do,SCRUM,CTS v1.0 - SCRUM,software,Maria Mashura,712020:908fe8f9-ee75-4548-a54d-e70f424735f9,Your first project,Low,,Maria Mashura,712020:908fe8f9-ee75-4548-a54d-e70f424735f9,Maria Mashura,712020:908fe8f9-ee75-4548-a54d-e70f424735f9,Maria Mashura,712020:908fe8f9-ee75-4548-a54d-e70f424735f9,05/Dec/25 3:54 PM,05/Dec/25 4:47 PM,05/Dec/25 4:30 PM,,,0,Develop parser for UkrSibbank currency rates and integrate into data pipeline.,,,,,,,,,,,,{},,0|i0002f:,CTS v 1.0,05/Dec/25 12:00 AM,5.0,,,10004,SCRUM-5,Currency Tracking Service,To Do,05/Dec/25 3:54 PM
Implement Oshchadbank data collector,SCRUM-11,10016,Story,To Do,SCRUM,CTS v1.0 - SCRUM,software,Maria Mashura,712020:908fe8f9-ee75-4548-a54d-e70f424735f9,Your first project,Medium,,Maria Mashura,712020:908fe8f9-ee75-4548-a54d-e70f424735f9,Maria Mashura,712020:908fe8f9-ee75-4548-a54d-e70f424735f9,Maria Mashura,712020:908fe8f9-ee75-4548-a54d-e70f424735f9,05/Dec/25 3:54 PM,05/Dec/25 4:47 PM,05/Dec/25 4:29 PM,,,0,Develop parser for Oshchadbank currency rates and integrate into data pipeline.,,,,,,,,,,,,{},,0|i00027:,CTS v 1.0,05/Dec/25 12:00 AM,5.0,,,10004,SCRUM-5,Currency Tracking Service,To Do,05/Dec/25 3:54 PM
Implement Monobank data collector,SCRUM-10,10014,Story,To Do,SCRUM,CTS v1.0 - SCRUM,software,Maria Mashura,712020:908fe8f9-ee75-4548-a54d-e70f424735f9,Your first project,Medium,,Maria Mashura,712020:908fe8f9-ee75-4548-a54d-e70f424735f9,Maria Mashura,712020:908fe8f9-ee75-4548-a54d-e70f424735f9,Maria Mashura,712020:908fe8f9-ee75-4548-a54d-e70f424735f9,05/Dec/25 3:54 PM,05/Dec/25 4:47 PM,05/Dec/25 4:29 PM,,,0,Write Python parser for Monobank API and save collected rates to database.,,,,,,,,,,,,{},,0|i0001z:,CTS v 1.0,05/Dec/25 12:00 AM,5.0,,,10004,SCRUM-5,Currency Tracking Service,To Do,05/Dec/25 3:54 PM
Implement PrivatBank data collector,SCRUM-9,10012,Story,To Do,SCRUM,CTS v1.0 - SCRUM,software,Maria Mashura,712020:908fe8f9-ee75-4548-a54d-e70f424735f9,Your first project,High,,Maria Mashura,712020:908fe8f9-ee75-4548-a54d-e70f424735f9,Maria Mashura,712020:908fe8f9-ee75-4548-a54d-e70f424735f9,Maria Mashura,712020:908fe8f9-ee75-4548-a54d-e70f424735f9,05/Dec/25 3:53 PM,05/Dec/25 4:47 PM,05/Dec/25 4:25 PM,,,0,Write Python parser for PrivatBank API and save collected rates to database.,,,,,,,,,,,,{},,0|i0001r:,CTS v 1.0,05/Dec/25 12:00 AM,5.0,,,10004,SCRUM-5,Currency Tracking Service,To Do,05/Dec/25 3:53 PM
Design database schema,SCRUM-8,10010,Story,To Do,SCRUM,CTS v1.0 - SCRUM,software,Maria Mashura,712020:908fe8f9-ee75-4548-a54d-e70f424735f9,Your first project,Medium,,Maria Mashura,712020:908fe8f9-ee75-4548-a54d-e70f424735f9,Maria Mashura,712020:908fe8f9-ee75-4548-a54d-e70f424735f9,Maria Mashura,712020:908fe8f9-ee75-4548-a54d-e70f424735f9,05/Dec/25 3:53 PM,05/Dec/25 4:47 PM,05/Dec/25 4:23 PM,,,0,Create SQLite database schema with exchange_rates table for storing bank rates.,,,,,,,,,,,,{},,0|i0001j:,CTS v 1.0,05/Dec/25 12:00 AM,3.0,,,10004,SCRUM-5,Currency Tracking Service,To Do,05/Dec/25 3:53 PM
Define non-functional requirements,SCRUM-7,10008,Story,To Do,SCRUM,CTS v1.0 - SCRUM,software,Maria Mashura,712020:908fe8f9-ee75-4548-a54d-e70f424735f9,Your first project,Medium,,Maria Mashura,712020:908fe8f9-ee75-4548-a54d-e70f424735f9,Maria Mashura,712020:908fe8f9-ee75-4548-a54d-e70f424735f9,Maria Mashura,712020:908fe8f9-ee75-4548-a54d-e70f424735f9,05/Dec/25 3:52 PM,05/Dec/25 4:47 PM,05/Dec/25 4:21 PM,,,0,"Document performance, usability, reliability, maintainability, and portability requirements.",,,,,,,,,,,,{},,0|i0001b:,CTS v 1.0,05/Dec/25 12:00 AM,2.0,,,10004,SCRUM-5,Currency Tracking Service,To Do,05/Dec/25 3:52 PM
Define functional requirements,SCRUM-6,10006,Story,To Do,SCRUM,CTS v1.0 - SCRUM,software,Maria Mashura,712020:908fe8f9-ee75-4548-a54d-e70f424735f9,Your first project,Medium,,Maria Mashura,712020:908fe8f9-ee75-4548-a54d-e70f424735f9,Maria Mashura,712020:908fe8f9-ee75-4548-a54d-e70f424735f9,Maria Mashura,712020:908fe8f9-ee75-4548-a54d-e70f424735f9,05/Dec/25 3:51 PM,05/Dec/25 4:47 PM,05/Dec/25 4:18 PM,,,0,Create a full list of functional requirements for the currency tracking system.,,,,,,,,,,,,{},,0|i00013:,CTS v 1.0,05/Dec/25 12:00 AM,3.0,,,10004,SCRUM-5,Currency Tracking Service,To Do,05/Dec/25 3:51 PM
Currency Tracking Service,SCRUM-5,10004,Epic,To Do,SCRUM,CTS v1.0 - SCRUM,software,Maria Mashura,712020:908fe8f9-ee75-4548-a54d-e70f424735f9,Your first project,Medium,,,,Maria Mashura,712020:908fe8f9-ee75-4548-a54d-e70f424735f9,Maria Mashura,712020:908fe8f9-ee75-4548-a54d-e70f424735f9,05/Dec/25 11:56 AM,05/Dec/25 11:56 AM,05/Dec/25 12:09 PM,,,0,"A lightweight system for collecting daily exchange rates from 5 Ukrainian banks, storing the data in a local database, and displaying it on a modern, clean one-page website.",,,,,,,,,,,,{},purple,0|i0000v:,,05/Dec/25 12:00 AM,,,,,,,To Do,05/Dec/25 11:56 AM
